eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2023,113,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2000,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2001,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2002,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2003,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2004,179,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2005,183.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2006,182.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2007,181.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2008,177.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2009,170.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2010,162,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2011,156.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2012,150.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2013,147,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2014,140.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2015,137.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2016,133.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2017,161,BE
